epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,6757.85,0.10652,0.10039,0.79006,1,1,0.995,0.995,0.036,0.04868,0.73868,0.000212349,0.000212349,0.000212349
88,6850.35,0.1059,0.09873,0.78842,1,1,0.995,0.995,0.03785,0.04934,0.73868,0.000198202,0.000198202,0.000198202
89,6940.55,0.10328,0.09618,0.78892,1,1,0.995,0.995,0.0357,0.04707,0.73866,0.000184055,0.000184055,0.000184055
90,7033.11,0.10224,0.09494,0.78995,0.99995,1,0.995,0.995,0.03746,0.04806,0.73853,0.000169908,0.000169908,0.000169908
91,7117.96,0.07485,0.07114,0.76641,1,1,0.995,0.995,0.03986,0.04893,0.73858,0.000155761,0.000155761,0.000155761
92,7198.64,0.07472,0.06869,0.76992,0.99995,1,0.995,0.995,0.03834,0.04887,0.73874,0.000141614,0.000141614,0.000141614
93,7279.69,0.0719,0.06697,0.76689,0.99995,1,0.995,0.995,0.03628,0.04752,0.73855,0.000127467,0.000127467,0.000127467
94,7358.66,0.07063,0.06499,0.77269,0.99989,1,0.995,0.995,0.03571,0.04695,0.7386,0.00011332,0.00011332,0.00011332
95,7438.25,0.06899,0.06372,0.76901,0.9999,1,0.995,0.995,0.03507,0.04563,0.73848,9.91726e-05,9.91726e-05,9.91726e-05
96,7519.61,0.06809,0.06341,0.76779,0.99995,1,0.995,0.995,0.03534,0.04683,0.73836,8.50255e-05,8.50255e-05,8.50255e-05
97,7598.56,0.0678,0.06318,0.76963,0.99995,1,0.995,0.995,0.03503,0.04671,0.73821,7.08784e-05,7.08784e-05,7.08784e-05
98,7678.46,0.06781,0.06329,0.77225,0.99995,1,0.995,0.995,0.03479,0.04646,0.73825,5.67313e-05,5.67313e-05,5.67313e-05
99,7758.75,0.06567,0.06173,0.76563,0.99995,1,0.995,0.995,0.03474,0.04578,0.73819,4.25842e-05,4.25842e-05,4.25842e-05
100,7838.23,0.0645,0.05922,0.76768,0.99995,1,0.995,0.995,0.03531,0.04642,0.73812,2.84371e-05,2.84371e-05,2.84371e-05
